Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
CAS BI 171,Reading in Biology 1,FRESHMANST,"ING,CONSENTOFINSTRUCT OR ,",COMPLETEDAPPLICATION,,,"Undergraduate Prerequisites: freshman standing, consent of instructor, and completed application. - Library research on well-defined topic in the biological sciences, chosen with a faculty member. Check-in discussions with faculty member and additional work as assigned. Not a Biology/BMB major/minor elective and cannot be combined with another 2-credit course for elective credit. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 172,Reading in Biology 1,FRESHMANST,"ING,CONSENTOFINSTRUCT OR ,",COMPLETEDAPPLICATION,,,"Undergraduate Prerequisites: freshman standing, consent of instructor, and completed application. - Library research on well-defined topic in the biological sciences, chosen with a faculty member. Check-in discussions with faculty member and additional work as assigned. Not a Biology/BMB major/minor elective and cannot be combined with another 2-credit course for elective credit. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 203,Cell Biology,CAS BI 108 OR CAS NE 102,CAS CH 102,,,,"Undergraduate Prerequisites: (CASBI 108 OR CASNE 102) and CASCH 102 or equivalent; Undergraduate Corequisites: (CASCH 203) or equivalent. - Principles of cellular organization and function: biological molecules, flow of genetic information, membranes and subcellular organelles, and cell regulation. Three hours lecture, one hour discussion. Students may receive credit for CASBI 203 or 213, but not both courses. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 206,Genetics,,,,,,"Prerequisites: CASBI 108 or equivalent. Corequisite: CASCH 203. - Principles of classical, molecular, and evolutionary genetics derived from analytical, molecular, and whole genome cytological evidence in animals, plants, and microorganisms. Three hours lecture, one hour discussion. Students may receive credit for CASBI 206 or 216, but not both courses. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Quantitative Reasoning II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 210,Human Anatomy,CAS BI 105,,,,,"Undergraduate Prerequisites: (CASBI105) or equivalent. - Intensive preprofessional course for students whose programs require anatomy. Not for biology major or minor credit. Gross structure of the human body; skeletal, muscular, nervous, respiratory, circulatory, digestive, urinary, and reproductive systems. Three hours lecture, two hours lab (lab requires dissection). Carries natural science divisional credit (with lab) in CAS. Cannot be taken for credit in addition to the course with the same title formerly numbered CAS BI 106. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Digital/Multimedia Expression, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 211,Human Physiology,CAS BI 105 OR CAS BI 108,CAS BI 106 OR CAS BI 210,,,,"Undergraduate Prerequisites: (CASBI105 OR CASBI108) & (CASBI106 OR CASBI210); or equivalent. First Year Writing Seminar (e.g., WR 100 or WR 120) or equivalent. - Some knowledge of chemistry and anatomy assumed. Not for biology major or minor credit; Biology majors/minors should take CAS BI 315. Introduction to principles of systemic mammalian physiology with special reference to humans. Three hours lecture, three hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Writing-Intensive Course, Critical Thinking, Teamwork/Collaboration. Effective Fall 2025, this course fulfills a single unit in each of the following BU Hub areas: Critical Thinking, Digital Multimedia Expression, Scientific Inquiry II. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 213,Intensive Cell Biology,CAS BI 108,CAS CH 102S,,,,"Undergraduate Prerequisites: (CASBI 108 & CASCH 102) or equivalents; Undergraduate Corequisites: (CASCH 203) or equivalent. - Recommended for students in BMB and the Specialization in Cell Biology, Molecular Biology & Genetics. Alternative to CASBI 203 emphasizing experimental approaches and in-depth discussion. Molecular basis of cell biology, including genomics, subcellular organelles, cell signaling, stem cells, and cancer. Students may receive credit for CASBI 213 or 203, but not both courses. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 216,Intensive Genetics,CAS BI 108,"BI203S,",CAS CH 203,,,"Undergraduate Prerequisites: CASBI 108 & BI 203 (or equivalents), and CASCH 203 or consent of instructor. Advanced alternative to CASBI 206, because (unlike BI206) BI216 does not repeat topics already taught in BI203 (or BI213) and also builds on fundamental information learned in B I203 (or BI 213). BI 216 also introduces students to reading research papers. Students in BI 216 attend lectures with students in BI 206 for the first half of the semester, after which BI 216 students are taught separately from BI 206 students. Principles of classical, molecular, and evolutionary genetics derived from analytical, molecular, and whole genome cytological evidence in animals, plants, and microorgansims. Three hours lecture, one hour discussion. Students may receive credit for CASBI 216 or 206, but not both courses. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Quantitative Reasoning II, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 218,Cell Biology with Integrated Science Experience II Lab,CAS BI 116,CAS CH 116,,,,"Undergraduate Prerequisites: CASBI 116 and CASCH 116 (or equivalent); or consent of instructor. First Year Writing Seminar (e.g., WR 100 or WR 120); Undergraduate Corequisites: CASCH 218. - Integration of cell biology with organic chemistry and neuroscience, with emphasis on how each discipline interacts experimentally. Laboratory focuses on synthesizing compounds and testing in biological systems. 3 lecture hours, 1 discussion hour, 4 hours lab, 2 hour lab discussion. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Writing-Intensive Course, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 225,Behavioral Biology,,,,,,"Prerequisites: CASBI 107 & CASBI 108 and First Year Writing Seminar (e.g., CASWR 100 or WR 120), and sophomore standing. - (Other students must fill out the waitlist - link in Notes. CASBI 225 and CASBI 407 cannot be taken concurrently and CASBI 225 cannot be taken following completion of CASBI 407.) Introduction to the genetics, physiology, neurobiology, ecology, and evolution of behavior. Topics include gene/environment interaction, hormones and behavior, neuroethology, communication, reproductive behavior, evolution of cooperation and altruism, cognition and brain evolution. Emphasis on integrative analysis. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Writing-Intensive Course, Philosophical Inquiry and Life's Meanings. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 230,Behavioral Endocrinology,CAS BI 108 OR CAS NE 102,SOPHOM OR EST,ING,,,"Undergraduate Prerequisites: (CASBI108 OR CASNE102) and sophomore standing. - Hormonal control of reproductive behaviors and social affiliation, aggression, fluid homeostasis and feeding, biological rhythms including seasonal reproduction, stress, learning and memory, psychiatric illness, and steroid abuse. Three hours lecture, one hour discussion. Also offered as CAS NE 230. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Oral and/or Signed Communication, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 240,Sophomore Research in Biology 1,,,,,,First semester sophomore research in Biology. Application through the Biology Department. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in Biology. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS BI 241,Sophomore Research in Biology 2,,,,,,Second semester sophomore research in Biology. Application through the Biology Department. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in Biology. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS BI 260,Marine Biology,CAS BI 107,,,,,"Undergraduate Prerequisites: (CASBI107) or consent of instructor. - Life in the seas: its ecology, evolution, and human impacts. Includes behavioral, physiological, structural, ecological, and evolutionary perspectives. A prerequisite for the Marine Semester. Three hours lecture, one hour discussion. Effective Spring 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Critical Thinking, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 271,Reading in Biology II,SOPHOM OR EST,"ING,CONSENTOFINSTRUCT OR ,",COMPLETEDAPPLICATION,,,"Undergraduate Prerequisites: sophomore standing, consent of instructor, and completed application. - Library research on well-defined topic in the biological sciences, chosen with a faculty member. Check-in discussions with faculty member and additional work as assigned. Not a Biology/BMB major/minor elective and cannot be combined with another 2-credit course for elective credit. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 272,Reading in Biology II,SOPHOM OR EST,"ING,CONSENTOFINSTRUCT OR ,",COMPLETEDAPPLICATION,,,"Undergraduate Prerequisites: sophomore standing, consent of instructor, and completed application. - Library research on well-defined topic in the biological sciences, chosen with a faculty member. Check-in discussions with faculty member and additional work as assigned. Not a Biology/BMB major/minor elective and cannot be combined with another 2-credit course for elective credit. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 282,Fundamentals of Biology 2,"CAS CH 182,",CONSENTOFINSTRUCT OR ,,,,"Undergraduate Prerequisites: (CASCH182) or equivalent, and consent of instructor. - Limited to seven-year medical students. Principles of classical, molecular, and evolutionary genetics derived from analytical, molecular, and whole genome cytological evidence in animals, plants, and microorganisms. Three hours lecture, one hour discussion. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Quantitative Reasoning II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 294,Topics in Biology 2,,,,,,Topics and prerequisites vary. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS BI 302,Vertebrate Zoology,CAS BI 107,,,,,"Undergraduate Prerequisites: (CASBI107) - Methods and principles of comparative vertebrate zoology. Phylogeny, natural history, adaptation, and taxonomy. Laboratory emphasis on correlation among structural, physiological, and evolutionary features of selected vertebrates by both dissection and experimentation. Field trips. Two hours lecture, six hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Scientific Inquiry II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 303,Evolutionary Ecology,CAS BI 107,CAS BI 206,CAS MA 121/123RECOMMENDED,,,"Undergraduate Prerequisites: (CASBI 107); CASBI 206 and CASMA 121/123 recommended. - Investigation of ecological processes and patterns at the individual, population, and community level. An evolutionary approach is emphasized. Three hours lecture, three hours lab. One research paper and one daylong field trip required. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Digital/Multimedia Expression. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 305,Plant Biology,CAS BI 107,CAS BI 108,,,,"Undergraduate Prerequisites: (CASBI107 & CASBI108) - A basic introduction to the plant sciences, including plant structure and diversity; reproduction, growth, and development; and economic and medicinal uses. Emphasis on new developments in the plant sciences. Three hours lecture, three hours lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 306,Biology of Global Change,CAS BI 107RECOMMENDED:CAS CH 101 OR CAS CH 171,,,,,"Undergraduate Prerequisites: (CASBI107) Recommended: CASCH101 or CASCH171. - The ecological impacts of human activity on terrestrial and aquatic ecosystems. Climate change, forest decline, eutrophication, acidification, loss of species diversity, and restoration of ecosystems. Three hours lecture, three hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Ethical Reasoning, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 309,Evolution,CAS BI 107,CAS BI 108,,,,"Undergraduate Prerequisites: (CASBI107 & CASBI108) or equivalent. - Introduction to modern concepts, controversies, and analytical approaches in evolutionary biology. Topics include adaptation, natural and sexual selection, species and speciation, phylogenetics, comparative analysis, basic population and quantitative genetics, origin of novelty, adaptive radiation, development and evolution. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Ethical Reasoning. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 310,"Human Structure & Function: Anatomy, Histology and Pathology",BI108,"203,",,,,"Undergraduate Prerequisites: BI 108 and 203, or equivalent. - Examines the cells and tissues that make up our organs (histology), the structure and interactions of the organ systems (anatomy), and how disease reshapes our bodies (pathology). As a secondary focus, this course also studies and critiques educational media related to human anatomy, and builds introductory competency in health communication. Three hours lecture, three hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Digital/Multimedia Expression, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 311,General Microbiology,CAS BI 203,CAS BI 206,,,,"Undergraduate Prerequisites: (CASBI203 & CASBI206) or consent of instructor. First Year Writing Seminar (e.g., WR 100 or WR 120) - The biology of bacteria, viruses, fungi, algae, and protistans, including introduction to morphology, physiology, genetics, metabolism, ecology, and pathogenesis. Covers the basics of antibiotic resistance, motility, quorum sensing, symbiosis, epidemiology, and microbiome science. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Scientific Inquiry II, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 315,Systems Physiology,"CAS BI 108 OR ENG BE 209,",CAS CH 101,"CAS CH 102,",,,"Undergraduate Prerequisites: (CASBI 108 OR ENGBE 209), and CASCH 101 and CASCH 102, or equivalent. First Year Writing Seminar (e.g., WR 100 or WR 120). - An introduction to physiological principles applied across all levels of organization (cell, tissue, organ system). Preparation for more advanced courses in physiology. Topics include homeostasis and neural, muscle, respiratory, cardiovascular, renal, endocrine, gastrointestinal, and metabolic physiology. Three hours lecture, three hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Writing-Intensive Course, Critical Thinking, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 325,Principles of Neuroscience,CAS BI 203,,,,,"Undergraduate Prerequisites: (CASBI203) or consent of instructor. - Introduces fundamentals of the nervous system at descriptive scales ranging from individual cells to the entire brain. Topics include biophysics of excitable membranes, synaptic transmission, sensory and motor systems, learning and memory, plasticity, neuromodulation, and the biological basis of complex behaviors. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 328,Cell Biology and Translational Medicine,CAS BI 203,,,,,"Undergraduate Prerequisites: CASBI 203. This course offers an in-depth exploration of the cell biology mechanisms and treatment strategies associated with several significant diseases including heart disease, cancer, respiratory, Alzheimer's and viral diseases. Students will primarily engage with recent research papers that employ cutting-edge molecular techniques. Effective Spring 2025, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 333,Human Population Genetics,,,,,,"Human population biology and ecological adaptations: human demography, life history patterns, population genetics, and physiological adaptability. Topics: population dynamics of human societies, mortality and fertility schedules, evolution and genetics of human life history traits, physiological adaptability, and ecological correlates. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Scientific Inquiry II, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 340,Junior Research in Biology 1 (2 Credits),JUNI OR ST,ING,,,,"Undergraduate Prerequisites: junior standing. - First semester junior research including training in use of research literature. Conduct research under supervision of faculty mentor. Group meeting attendance required. Application through Biology Department. Minimum 6 hrs/wk. Not a Biology major/minor elective and cannot be combined with another 2-credit course for elective credit. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 341,Junior Research in Biology 2 (2 Credits),JUNI OR ST,ING,"ONEOFTHEFOLLOWING:BI340,BI350, OR FULL",,,"Undergraduate Prerequisites: junior standing and one of the following: BI 340, BI 350, or full-time summer UROP. - Second semester junior research required participation in group meetings. Conduct research under supervision of faculty mentor. Group meeting participation required. Application through Biology Department. Minimum 6 hrs/wk. Not a Biology major/minor elective and cannot be combined with another 2-credit course for elective credit. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 349,"Neurotoxins in Biology, Medicine, Agriculture and War",BI108 OR NE102,,,,,"Undergraduate Prerequisites: BI108 or NE102 or equivalent - Neurotoxins used as a lens to study the consequences of venom on mammalian physiological systems; potential clinical applications of neurotoxins; neurotoxins at cellular and molecular levels; mechanisms and possible impacts of neurotoxic pesticides; and physiological effects of neurotoxic chemical weapons. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 350,Junior Research in Biology 1 (4 Credits),JUNI OR ST,ING,,,,"Undergraduate Prerequisites: junior standing. - First semester junior research including training in the use of research literature and active participation at group meetings. Application through the Biology Department. Students conduct research under supervision of a faculty mentor. Attendance at group meetings required. Minimum 12 hrs/wk in lab or fieldwork, data analysis, and writing. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 351,Junior Research in Biology 2 (4 Credits),JUNI OR ST,ING,"EITHERBI340,BI350, OR FULL",,,"Undergraduate Prerequisites: junior standing and either BI 340, BI 350, or full-time summer UROP. - Second semester research with junior standing including training in the use of research literature. Application through the Biology Department. Students conduct research under supervision of a faculty mentor. Students expected to attend group meetings and take a lead and make creative contributions to projects. Minimum 12 hrs/wk in lab or fieldwork, data analysis, and writing. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Creativity/Innovation, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 352,Junior Research in Biology 3,JUNI OR ST,"ING,FIRST",,,,"Undergraduate Prerequisites: junior standing, First-Year Writing (e.g., WR 100 or WR 120), and eith er BI 351 or 341. - Third semester research with junior standing including required participation in group meetings. Application through the Biology Department. Students conduct research under supervision of a faculty mentor. Attendance at group meetings and final report required. Students expected to take a lead and make creative contributions to projects. Attendance at group meetings and final report required. Minimum 12 hours/week in lab or fieldwork, data analysis, and writing. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 371,Reading in Biology 3,JUNI OR ST,"ING,CONSENTOFINSTRUCT OR ,",COMPLETEDAPPLICATION,,,"Undergraduate Prerequisites: junior standing, consent of instructor, and completed application. - Library research on well-defined topic in the biological sciences, chosen with a faculty member. Check-in discussions with faculty member and additional work as assigned. Not a Biology/BMB major/minor elective and cannot be combined with another 2-credit course for elective credit. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 372,Reading in Biology 3,JUNI OR ST,"ING,CONSENTOFINSTRUCT OR ,",COMPLETEDAPPLICATION,,,"Undergraduate Prerequisites: junior standing, consent of instructor, and completed application. - Library research on well-defined topic in the biological sciences, chosen with a faculty member. Check-in discussions with faculty member and additional work as assigned. Not a Biology/BMB major/minor elective and cannot be combined with another 2-credit course for elective credit. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 385,Immunology,CAS BI 203,CAS BI 206,JUNI OR ST,ING,,"Undergraduate Prerequisites: (CASBI203 & CASBI206) and junior standing. - The constituents and regulation of mammalian immune systems are described at the levels of the gene, protein, and cell. Topics include nonspecific, T cell and B cell recognition and responses, genetics of immune receptors, inflammation, tolerance, memory, and evolution and manipulation of defense systems. Three hours lecture, one hour discussion. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 394,Topics in Biology 3,,,,,,"Topics and prerequisites vary. Topic for Fall 2023: Tabletop Game Design for Biology Education. Theory/methods of designing tabletop games as biology teaching tools in classroom settings or to public. Develop a prototype game and improve it with playtests and iterative feedback from your peers. Techniques learned are applicable to other forms of science communication and interactive experience design. Prereq: CAS BI 107 and 108, or consent of instructor. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
