Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
ENG ME 400,Undergraduate Special Topics in Mechanical Engineering,CAS MA 226,,,,,Undergraduate Prerequisites: (CASMA226) - Coverage of a specific topic in mechanical engineering at the undergraduate level. Subject matter varies from semester to semester; not offered every semester. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 403,Atmospheric Flight Mechanics and Control,ENG ME 302,ENG ME 421,,,,"Undergraduate Prerequisites: (ENGME302 & ENGME421) or consent of instructor - Introduction to stability and control of atmospheric flight vehicles. Forces and moments on aircraft. Static and dynamic stability. Equations of motion. Feedback design using root locus. Flying quality standards. Longitudinal and lateral autopilots. Includes design project and lab. Cannot be taken for credit in addition to ENG ME 404, ENG EC 402, or ENG BE 404. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 404,Dynamics and Control of Mechanical Systems,ENG ME 302,,,,,"Undergraduate Prerequisites: (ENGME302) or consent of instructor. - Modeling of mechanical systems. Introduction to theory of feedback and control. Performance and stability of linear systems. Design of feedback control systems. Practical applications. Includes lab. Cannot be taken for credit in addition to ENG ME 403, ENG EC 402, or ENG BE 404. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 406,Dynamics of Space Vehicles,ENG ME 302,,,,,"Undergraduate Prerequisites: (ENGME302) - Orbital mechanics of particles, earth satellite trajectories. Rocket propulsion and atmospheric reentry dynamics. Gravitational and electromagnetic fields of the earth. Effects of the space environment on vehicle performance. Rigid body dynamics and vehicle attitude control. Interplanetary trajectories and mission planning. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 408,Aircraft Performance and Design,ENG ME 302,ENG ME 303,ENG ME 305,,,"Undergraduate Prerequisites: (ENGME302 & ENGME303 & ENGME305) - This course covers the fundamental elements of designing and analyzing fixed wing aircraft, including general aviation aircraft, commercial transports and selected military products. Student teams get to design an airplane from start to finish during the semester as well as compete with other teams for Best-in-Class design. Topics covered include Initial Sizing, Wing, Fuselage and Empennage Design, Propulsion Selection, Takeoff & Landing Performance, Structural Design, Stability & Control and Cost Assessment. Emphasis is put on modeling existing competitor aircraft in tandem with the students' design, which helps substantiate design choices. The use of spreadsheets is a key learning tool for this course. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 411,Operations Research,ENG ME 366 OR CAS MA 381,ENG EK 102 OR CAS MA 142,,,,Undergraduate Prerequisites: (ENGME366 OR CASMA381) & (ENGEK102 OR CASMA142)) - No longer offered Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 415,Product Design,ENG ME 345,ENG ME 407,ENG EK 409,,,Undergraduate Prerequisites: (ENGME345 & ENGME407 & ENGEK409) - No longer offered Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 416,Introduction to Robotics,CAS MA 225,ENG EK 125,ENG EK 301,,,"Undergraduate Prerequisites: (CASMA225 & ENGEK125 & ENGEK301) - The term robot was first used by a Czech playwriter in 1920, but the fascination of humans with machines that can sense, process and act in their physical environment was there since ancient civilization. Today the convergence of relatively cheap but powerful hardware with many years of research makes possible to (almost) build robots in different shapes and for a variety of applications: industrial robots, vacuum cleaners, delivery drones, self-driving cars, etc. While this is an active field of research, the basic building blocks for a robot (modeling, control, perception, mapping and planning) are well understood. Through both theory and practice, in this class you will learn these basics, and build a simple but complete system that will compete with the creations of your peers. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 419,Heat Transfer,,,,,,"Prerequisites: ENGME 303 & ENGME 304. - This course covers the fundamentals of heat transfer from a macroscopic and engineering perspective, and aims to develop a physical and analytical understanding of the three modes of heat transfer (conduction, convection, radiation), with an emphasis on simplifying approximations and empirical correlations to solve real-world engineering problems. The main topics that this course covers are: Steady-state conduction in one and two dimensions; Non-steady (transient) conduction in one-dimensional systems; Forced and natural convection (external and internal); Introduction to boiling, evaporation, and condensation; Application to heat exchangers; Radiation heat exchange; Mass Transfer Analogies (diffusion and convection). Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 420,Supply Chain Engineering,ENG EK 381,,,,,Undergraduate Prerequisites: (ENGEK381) - Emphasizes the integration of product design with the process of delivering products to customers. Review of manufacturing processes for process automation. Supply chain configuration and flow balancing. Seamless introduction of new products. Process reengineering and lean manufacturing techniques in established supply chains. Design of decision support systems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 421,Aerodynamics,ENG ME 303,,,,,Undergraduate Prerequisites: (ENGME303) - Flow kinematics. Aerodynamic forces. Potential flow theory. Streamfunction and velocity potential in two-dimensional flows. 2D and 3D wing theory: thin airfoil theory and lifting line theory. Computational methods for potential flow. Linearized compressible flow. Laminar and turbulent boundary layers. Includes labs and computer projects. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 425,Compressible Flow and Propulsion,ENG ME 303,ENG ME 304,,,,"Undergraduate Prerequisites: (ENGME303 & ENGME304) - Fluid mechanics and thermodynamics of compressible fluid flow with application to external and internal flows as found in propulsion systems. Fluid/thermal related topics include: normal and oblique shocks, Prandtl-Meyer expansion waves, variable area duct flow, and wave drag. Propulsion applications include rocket nozzles, supersonic inlets, and exhaust nozzles for airbreathing propulsion systems. Parametric cycle analysis for ramjet, turbojet, and turbofan engines. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 441,Mechanical Vibration,ENG ME 302,,,,,"Undergraduate Prerequisites: (ENGME302) - One- and multi-degree-of-freedom systems. Natural frequencies and modes of vibrations, resonance, beat phenomenon. Stability analysis. Energy methods. Applications to rotating machinery. Methods for vibration reduction. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 452,Directed Study in Mechanical Engineering,BYPETITIONONLY,,,,,"Undergraduate Prerequisites: (By petition only.) - Under faculty supervision, students may study a subject that is relevant to mechanical engineering and is not covered in a regularly offered course. Term paper and/or written examination required at end of semester. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 457,Engineering Projects in Mechanical Engineering,BYPETITIONONLY,,,,,"Undergraduate Prerequisites: (By petition only.) - Project for seniors in mechanical engineering. Students select, develop, and complete a project and prepare a report. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 460,Senior Design 1,ENG ME 302,ENG ME 305,ENG ME 360CAS WR 150/1/2/3REQUIRED,,,"Undergraduate Prerequisites: (ENGME302 & ENGME305 & ENGME360) CAS WR 150/1/2/3 required. - The course develops skills that are crucial to the successful completion of the Mechanical Engineering Senior Capstone Design project. The core technical framework is electro-mechanical systems. Through lectures, workshops, and online materials, students gain practical experience in component and system design, project planning, and engineering communications. The course guides students through execution and documentation of the conceptual design stage of their Capstone projects. When taken with ENG ME 461, this course fulfills a single unit in the following BU Hub areas: Digital/Multimedia Expression, Oral and/or Signed Communication, Writing-Intensive Course, Research and Information Literacy. (1st sem.) Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 461,Senior Design 2,ENG ME 460SENI OR ST,ING,FIRSTYEARWRITINGSEMINARE,,,"Undergraduate Prerequisites: (ENGME 460) Senior standing; First Year Writing Seminar (e.g., WR 100 or WR 120). - The main activity in this course is the planning, and execution of a capstone project that represents a culmination of the Mechanical Engineering program. Students work in teams on either a research or design problem in some area of Mechanical Engineering that builds upon previous coursework. Class time will be focused on weekly project meetings with faculty. The course includes lectures on ethics, entrepreneurship, project management and other professional topics. Oral and written communications will be emphasized. When taken with ENGME 460, this course fulfills a single unit in the following BU Hub areas: Digital/Multimedia Expression, Oral and/or Signed Communication, Writing-Intensive Course, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 500,Special Topics in Mechanical Engineering,,,,,,Seminar course on a topic of current interest in aerospace and mechanical engineering. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 501,Dynamic System Theory,FAMILIARITYWITHDIFFERENTIALEQUATIONS,"MATRICESATTHELEVELOFENG ME 404 OR CAS MA 242,",,,,"Undergraduate Prerequisites: Familiarity with differential equations and matrices at the level of E NG ME 404 or CAS MA 242, or consent of instructor. - Introduction to analytical concepts and examples of dynamic systems and control. Mathematical description and state space formation of dynamic systems; modeling, controllability, and observability. Eigenvector and transform analysis of linear systems including canonical forms. Performance specifications. State feedback: pole placement and the linear quadratic regulator. Introduction to MIMO design and system identification using computer tools and laboratory experiments. Meets with ENG EC 501 and ENG SE 501; students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 502,"Invention: Technology Creation, Protection, and Commercialization",SENI OR  OR GRADUATEST,INGINANENGINEERING OR SCIENCEDISCIPLINE,,,,"Undergraduate Prerequisites: (Senior or graduate standing in an engineering or science discipline o r consent of instructor) - This course provides students with the knowledge and tools necessary to create, protect, and commercialize engineering and scientific intellectual assets. Students will first make use of creativity tools to attack posed engineering problems, then turn to means for protecting their solutions. Rapidly growing areas that are affecting nearly all businesses (e.g., software and the internet) as well as ""high-tech"" areas including microelectronics, communications, and bioengineering will be emphasized. Extensive patent searches and analysis will be carried out to develop skills for quickly ascertaining the protected technical content of patents, and for recognizing what intellectual property (IP) should be and can be protected. Legal aspects for protecting creative ideas will be studied at a level appropriate for engineers to interact easily and smoothly during their technical careers with IP lawyers. Various business models for the commercialization of intellectual assets will be analyzed. Extensive class exercises and projects will explore in depth all three of these important areas of IP, with emphasis on key contributions during engineering and scientific research and development activities. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 503,Kinetic Processes in Materials,UNDERGRADUATECOURSEINMATERIALSSCIENCE,ENGINEERING,,,,"Undergraduate Prerequisites: Undergraduate course in materials science and engineering. - Kinetics of mass transport, continuum and atomistic approaches, chemical diffusion; kinetics of chemical reactions, kinetics of adsorption and evaporation; nucleation and growth; solidification; spinodal decomposition; coarsening; martensitic transformations; order-disorder reactions; point defects and their relation to transport kinetics. Meets with ENGMS503; students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 504,Polymers and Soft Materials,GRADUATEST,ING OR INSTRUCT OR CONSENTAFTERENG EK 424 OR CAS PY 410,,,,"Undergraduate Prerequisites: Graduate standing or instructor consent after ENG EK 424 or CAS PY 410 - An introduction to soft matter for students with background in materials science, chemistry and physics. This graduate-level course covers general aspects of structure, interactions, and functions of polymers and soft materials (including colloidal suspensions). Specifically, students will learn key fundamentals behind the unique viscoelastic behavior of polymers and colloids, which an emphasis on understanding conceptual, structure/function, and mathematical roots. Topics include chain behavior and self-avoiding walks, Flory- Huggins theory, and development of DLVO theory for zetapotential measurements. On a practical level, students will leave the class with an understanding of why rubber bands are stretchy, why people can run on cornstarch in water, why mixing polymers is challenging, and why Kevlar is bendable yet bulletproof! This is a fast-paced graduate course that requires thermodynamics as a prereq and assumes a familiarity with basic organic chemistry, differentials equations, and basic linear algebra. Meets with ENG ME and MS 504; students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 505,Thermodynamics and Statistical Mechanics,UNDERGRADUATECOURSEINTHERMODYNAMICS,,,,,"Undergraduate Prerequisites: Undergraduate course in Thermodynamics. - The laws of thermodynamics; general formulation and applications to mechanical, electromagnetic and electromechanical systems; thermodynamics of solutions, phase diagrams; thermodynamics of interfaces, adsorption; defect equilibrium in crystals; statistical thermodynamics, including ensembles, gases, crystal lattices, and phase transitions. Same as ENGMS505; students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 506,Engineering Device Applications: From Physics to Design,SENI OR  OR GRADUATEST,"INGINTHEENGINEERING,PHYSICS, OR THECHEMISTRYDISCIPLINES,",,,,"Undergraduate Prerequisites: Senior or graduate standing in the Engineering, Physics, or the Chemis try disciplines, or consent of instructor. - Senior or graduate standing in the engineering, physics, or the chemistry disciplines, or consent of instructor. Topics include many sensors and actuators, including accelerometers and piezoelectric devices, as well as many other electromechanical devices, plus lasers, quantum dots, atomic force microscope, ellipsometry, plasma etching, advanced semiconductor based devices, scanning electron microscopes, and open to other student suggested directions. Such devices are used considerably in engineering, science, and technology, as well as in commercial high ""tech"" products, and for instrumentation and measuring purposes. Many devices will be taken apart and analyzed in terms of the operation,physics, design, device optimization, plus considerations of possible deviations from the original design. The intent here is that a confident mastery of these devices will improve the use and application of these devices for engineers, as well as provide a guide where jobs might be obtained in the use and possible enhancements of these devices. About 20 physical demonstrations will be given during the course. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 507,Process Modeling and Control,ENG EK 307 OR CAS MA 226COURSEW OR K,PERMISSIONOFTHEINSTRUCT OR ,,,,"Undergraduate Prerequisites: (ENGEK307 OR CASMA226) or equivalent coursework and permission of the instructor. Senior or g raduate standing in engineering. - An introduction to modeling and control as applied to industrial unit processes providing the basis for process development and improvement. Major themes include an integrated treatment of modeling multi-domain physical systems (electrical, mechanical, fluid, thermal), application of classical control techniques, and system design. Topics include modeling techniques, analysis of linear dynamics, control fundamentals in the time and frequency domain, and actuator selection and control structure design. Examples drawn from a variety of manufacturing processes and case studies. Meets with ENGMS507. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 508,Computational Methods in Materials Science,ENG ME 503,ENG ME 505,,,,"Undergraduate Prerequisites: (ENGME503 & ENGME505) - Introduction to computational materials science. Multi-scale simulation methods; electronic structure, atomistic, micro-structure, continuum, and mathematical analysis methods; rate processes and rare events. Materials defect theory; modeling of crystal defects, solid micro-structures, fluids, polymers, and bio-polymers. Materials scaling theory: phase transition, dimensionality, and localization. Perspectives on predictive materials design. Topics covered include tight binding theory, density functional theory, and many-body perturbation theory. Lectures provide the theoretical framework for computation. Same as CAS CH 455, GRS CH 572, ENG MS 508. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 510,Production Systems Analysis,ENG ME 345,,,,,"Undergraduate Prerequisites: (ENGME345) or consent of instructor - Operations research and dynamic systems methods applied in modeling, analysis, and control of production systems. Inventory analysis and control for single and multi-item systems based on deterministic and stochastic demand models. Demand forecasting. Supply chain management. Machine, flow shop and job shop scheduling, project scheduling with PERT and CPM. Production control methods: MRP, MRP-II, Just-in-Time, and Kanban. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 514,Simulation,ENG EK 127 OR KNOWLEDGEOFGENERALPROGRAMMINGLANGUAGE,CAS MA 381,,,,"Undergraduate Prerequisites: ENG EK127 or knowledge of general programming language; CAS MA 381 - Modeling of discrete event systems and their analysis through simulation. Systems considered include, but are not limited to, manufacturing systems, computer-communication networks and computer systems. Simulating random environments and output analysis in such contexts. A simulation language is introduced and is the main tool for simulation experimentation. Same as ENG EC 514; students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 515,Vibration of Complex Mechanical Systems,CAS MA 226,ENG ME 302,,,,"Undergraduate Prerequisites: (CASMA226 & ENGME302) - Analysis of free and forced vibration of multidegree-of-freedom systems. Analysis of free and forced vibration of continuous systems such as strings, bars, beams, and membranes. Introduction to vibration control, vibration isolation, and vibration absorbers. Introduction to vibration sensors. Analysis of free and forced vibration of systems and structures modeled with the finite element method. Students learn computational implementation of all analyses. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 516,Statistical Mechanical Concepts in Engineering,ENG ME 303,ENG ME 304,ENG ME 419,,,"Undergraduate Prerequisites: (ENGME303 & ENGME304 & ENGME419) - Statistical mechanics uses probability theory to establish a connection between the microscopic properties of individual molecules and macroscopic properties of matter, such as temperature, pressure, entropy, heat capacity and viscosity. Review of thermodynamics. Fundamentals of probability theory. Phase space dynamics. Ensembles and averages. Statistical formulation of photons (Light), phonons (lattice vibrations in solids), electrons in a metals and classical gases. Classical transport. Introduction to non- equilibrium phenomena. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 517,Product Development,SENI OR  OR GRADUATEST,INGINANENGINEERINGDISCIPLINE,,,,"Undergraduate Prerequisites: Senior or graduate standing in an engineering discipline - Dynamics of converting ideas into marketable products. Choosing products and defining their specifications to achieve competitive advantage. The product development process is decomposed and its elements are examined critically in the context of actual case studies; risk evaluation, concurrent engineering, and impact of new product decisions on the factory. A step-by-step methodology for new product development is derived. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 518,Product Quality,CONSENTOFINSTRUCT OR ,,,,,"Undergraduate Prerequisites: consent of instructor - Introduction to statistical methods for design, control and improvement of quality. Includes Statistical Process and Quality Control (SPC & SQC) and Acceptance Sampling. Extensive coverage of Design of Experiments (DOE) with applications to designing quality into products and to process and product performance improvement. Also covers Robust Design and Taguchi's method. Introduction to modern approaches to management of quality (TQM, Six Sigma). Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 519,Theory of Heat Transfer,ENG ME 419,,,,,"Undergraduate Prerequisites: (ENGME419) - Analytical, numerical, and physical aspects of heat transfer phenomena, with emphasis on nondimensionalization and scaling. Mathematical treatment of steady and unsteady conduction, including finite difference methods. Forced and natural convection in internal and external flows. Thermal radiation and multimode heat transfer. Melting and solidification. Applications to aerospace heat transfer, energy systems, manufacturing, and biological heat transfer. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 520,Acoustics 1,ENG ME 302,ENG ME 303,ENG ME 304,,,"Undergraduate Prerequisites: (ENGME 302 & ENGME 303 & ENGME 304). - Introduction to wave propagation and sound. Derivation of the linear wave equation with emphasis on its origins in the conservation equations of fluid media and fluid equations of state. Plane wave and spherical wave propagation. Initial value and boundary value problems, including normal modes and waveguides. General concepts such as acoustic impedance and intensity. Lumped elements. The wave equation in horns and stratified media. Other topics may include biomedical ultrasound, acoustic levitation, etc. . . as time permits. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 521,Continuum Mechanics,ENG ME 303 OR ENG BE 436,ENG ME 304 OR ENG EK 424,,"ENG ME 305 OR ENG BE 420, OR BYCONSENTOFINSTRUCT OR ",,"Undergraduate Prerequisites: (ENGME303 OR ENGBE436) and ENGME304 or ENGEK424; and ENGME305 or ENGBE420, or by consent of i nstructor - The main goal of this course is to present a unified, mathematically rigorous approach to two classical branches of mechanics: the mechanics of fluids and the mechanics of solids. Topics will include kinematics, stress analysis, balance laws (mass, momentum, and energy), the entropy inequality, and constitutive equations in the framework of Cartesian vectors and tensors. Emphasis will be placed on mechanical principles that apply to all materials by using the unifying mathematical framework of Cartesian vectors and tensors. Illustrative examples from biology and physiology will be used to describe basic concepts in continuum mechanics. The course will end at the point from which specialized courses devoted to problems in fluid mechanics (e.g. biotransport) and solid mechanics (e.g. cellular biomechanics) could logically proceed; Same as ENG BE 521. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 524,Skeletal Tissue Mechanics,ENG EK 301,ENG ME 302,ENG ME 305,ENG ME 309,CAS MA 242,"Undergraduate Prerequisites: (ENGEK301 & ENGME302 & ENGME305 & ENGME309 & CASMA242) or equivalent - The course is structured around classical topics in mechanics of materials and their application to study of the mechanical behavior of skeletal tissues, whole bones, bone-implant systems, and diarthroidal joints. Topics include: mechanical behavior of tissues, (anisotropy, viscoelasticity, fracture and fatigue) with emphasis on the role of the microstructure of these tissues; structural properties of whole bones and implants (composite and asymmetric bean theories); and mechanical function of joints (contact mechanics, lubrication, and wear). Emphasis is placed on using experimental data to test and to develop theoretical models, as well as on using the knowledge gained to address common health related problems related to aging, disease, and injury. Meets with ENG MS 524 and ENG BE 524. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
