Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
CAS CS 350,Fundamentals of Computing Systems,CAS CS 210,,,,,"Undergraduate Prerequisites: CASCS 210 - Programming-centric introduction to computer systems. The course discusses system design principles, performance analysis, communication and synchronization primitives, concurrency control, database transactions, data consistency, task and data parallelism, replication, fault tolerance, and distributed consensus. NOTE: CASCS 350 and CASCS 351 fulfill the same major requirement (“take two of the 3 courses in CS 320, CS 332, CS 350”). Students are allowed to take both CS 350 and CS 351 for credit. In this case one of the two will be applied towards electives in the major. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 351,Distributed Systems,,,,,,"Prerequisites: CASCS 210. - Covers fundamental concepts of distributed computing (logical clocks, causal order, snapshots, consensus, atomic commit), communication and synchronization primitives, concurrency control, task and data parallelism, data consistency, replication, and fault tolerance. NOTE: CASCS 350 and CASCS 351 fulfill the same major requirement (“take two of the 3 courses in CS 320, CS 332, CS 350”). Students are allowed to take both CS 350 and CS 351 for credit. In this case one of the two will be applied towards electives in the major. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 357,Introduction to Information Security,CAS CS 210,,,,,"Undergraduate Prerequisites: (CASCS210) or consent of instructor. - Provides basic concepts needed for understanding information security. Discusses vulnerabilities, design principles, basic algorithms, security definitions, and analytical methods. Covers system security, network security, web security, cryptography, and data privacy. Also addresses social, ethical, and policy aspects of security. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 365,Foundations of Data Science,CAS CS 112,CAS CS 131,CAS CS 132,CAS CS 237,,"Undergraduate Prerequisites: CAS CS112 and CAS CS131 and CAS CS132 and CAS CS237 (or equivalent). O r consent of instructor. Recommended: CAS CS330. - Lays the foundation towards more advanced data-intensive classes, such as Data Science, Machine Learning, Data Mining. The course provides an understanding of the fundamentals and the practical implications of concepts. It covers both theoretical skills as well as working/practical knowledge. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 391,Topics in Computer Science,,,,,,"Topics vary, course descriptions for each semester can be found at https://www.bu.edu/cs/undergraduate/courses/topics/  Different sections of the course may be taken for credit as topics vary. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 392,Topics in Computer Science,,,,,,"Topics vary, course descriptions for each semester can be found at https://www.bu.edu/cs/undergraduate/courses/topics/  Different sections of the course may be taken for credit as topics vary. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 401,Senior Independent Work,APPROVALOFTHEHON OR SCOMMITTEE,,,,,"Undergraduate Prerequisites: approval of the Honors Committee. - Effective Fall 2022, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 402,Senior Independent Work,APPROVALOFTHEHON OR SCOMMITTEE,,,,,"Undergraduate Prerequisites: approval of the Honors Committee. - Effective Spring 2023, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 410,Advanced Software Systems,CAS CS 210,,,,,"Undergraduate Prerequisites: (CASCS210) - Systems programming including such topics as project management, tools, I/O networking, multiprocessing, exception handling, and system services. Other topics are explored using C and Perl under the UNIX operating system. Requires a working knowledge of the C programming language and experience with UNIX as a user, or equivalent. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 411,Software Engineering,CAS CS 112,,,,,"Undergraduate Prerequisites: (CASCS112) - Introduction to the construction of reliable software. Topics may include software tools, software testing methodologies, retrofitting, regression testing, structured design and structured programming, software characteristics and quality, complexity, entropy, deadlock, fault tolerance, formal proofs of program correctness, chief program teams, and structured walk-throughs. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub area: Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 412,Full-Stack Application Design and Development,CAS CS 111,CAS CS 112,CAS CS 411,,,Undergraduate Prerequisites: (CASCS111 & CASCS112 & CASCS411) or consent of instructor. - Introduction to design and development of full-stack web applications. Topics include asynchronous programming; non-relational data stores; use of APIs; serverless (cloudbased) applications; decoupled client/server architectures; performance; testing; packaging; and deployment. Examines current and proposed technology stacks. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS CS 440,Introduction to Artificial Intelligence,CAS CS 112,CAS CS 132,,,,"Undergraduate Prerequisites: (CASCS112 & CASCS132) - Introduction to computer systems that exhibit intelligent behavior, in particular, perceptual and robotic systems. Topics include human computer interfaces, computer vision, robotics, game playing, pattern recognition, knowledge representation, planning. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 451,Distributed Systems,CAS CS 210,,,,,"Undergraduate Prerequisites: (CASCS210) - Programming-centric introduction to how networks of computers are structured to operate as coherent single systems. Introducing principles of architecture, processes, communications, naming, synchronization, consistency and replication, fault tolerance and security, and paradigms such as web-based, object-based, file system, and consistency-based. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 454,Embedded Systems Development,CAS CS 210,,,,,"Undergraduate Prerequisites: (CASCS210) - Lab-based course exploring concepts, techniques, best practices, and tools for the development of connected embedded systems, including: signal processing; sensing, control and actuation; programming and debugging on microprocessors; 1/0 interfacing and development of device drivers; and time-critical data handling. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 455,Computer Networks,CAS CS 210,,,,,"Undergraduate Prerequisites: (CASCS210) - Concepts underlying the design of high-performance computer networks and scalable protocols. Topics include Internet design principles and methodology, TCP/IP implementation, packet switching and routing algorithms, multicast, quality of service considerations, error detection and correction, and performance evaluation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 460,Introduction to Database Systems,CAS CS 112,,,,,"Undergraduate Prerequisites: (CASCS112) - Introduction to database management systems. Examines entity-relationship, relational, and object-oriented data models; commercial query languages: SQL, relational algebra, relational calculus, and QBE; file organization, indexing and hashing, query optimization, transaction processing, concurrency control and recovery,integrity, and security. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 480,Introduction to Computer Graphics,CAS CS 112,CAS CS 132,,,,"Undergraduate Prerequisites: (CASCS112 & CASCS132) - Introduction to computer graphics algorithms, programming methods, and applications. Focus on fundamentals of two- and three-dimensional raster graphics: scan-conversion, clipping, geometric transformations, and camera modeling. Introduces concepts in computational geometry, computer-human interfaces, animation, and visual realism. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Digital/Multimedia Expression. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 491,Directed Study,SOPHOM OR E OR HIGHERST,"ING,CONSENTOFINSTRUCT OR ,",ACOMPLETEDDIRECTEDSTUDYAPPLICATIONF OR M,,,"Undergraduate Prerequisites: sophomore or higher standing, consent of instructor, and a completed D irected Study Application form. - Independent study in Computer Science under the guidance of a faculty member. Student and supervising faculty member arrange and document expectations and requirements. Examples include internship opportunities for academic credit, in-depth study of a special topic, or independent research project. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 492,Directed Study,SOPHOM OR E OR HIGHERST,"ING,CONSENTOFINSTRUCT OR ,",ACOMPLETEDDIRECTEDSTUDYAPPLICATIONF OR M,,,"Undergraduate Prerequisites: sophomore or higher standing, consent of instructor, and a completed D irected Study Application form. - Independent study in Computer Science under the guidance of a faculty member. Student and supervising faculty member arrange and document expectations and requirements. Examples include internship opportunities for academic credit, in-depth study of a special topic, or independent research project. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 501,Computer Science Practicum,,,,,,Various applications of computer science that vary semester to semester. Please contact the CAS Computer Science Department for detailed descriptions. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS CS 505,Introduction to Natural Language Processing,CAS CS 365,,,,,Undergraduate Prerequisites: (CASCS365) - Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course explores statistical and machine learning techniques for the automatic analysis of natural language data. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS CS 506,Data Science Tools and Applications,CAS CS 108 OR CAS CS 111,CAS CS 132 OR CAS MA 242 OR CAS MA 442,,,,"Undergraduate Prerequisites: CAS CS 108 or CAS CS 111; CAS CS 132 or CAS MA 242 or CAS MA 442. CAS CS 112 is recommended. - Covers practical skills in working with data and introduces a wide range of techniques that are commonly used in the analysis of data, such as clustering, classification, regression, and network analysis. Emphasizes hands-on application of methods via programming. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Research and Information Literacy, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 511,Formal Methods 1,CAS CS 320 OR CAS CS 330 OR CAS CS 350,,,,,"Undergraduate Prerequisites: (CASCS320 OR CASCS330 OR CASCS350) - Introduction to formal specification, analysis, and verification of computer system behavior. Topics include formal logical reasoning about computer programs and systems, automated and semi-automated verification, and algorithmic methodologies for ascertaining that a software system satisfies its formally specified properties. Cannot be taken for credit in addition to the course with the same number formerly entitled ""Object-Oriented Software Principles."" Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 516,Software Foundations via Formal Languages,CAS CS 320,CAS CS 330COURSESAPPROVEDBYTHEINSTRUCT OR ,,,,"Undergraduate Prerequisites: (CASCS320 & CASCS330) or equivalent courses approved by the instructor. - Study of the hierarchy of formal languages with a focus on algorithms on the formalisms. Experimentation with these algorithms using a computer toolset. Applications of these algorithms to compiler construction, implementation of finite-state control devices, and formal methods. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 519,Spark! Software Engineering X-Lab Practicum,CAS CS 411 OR CAS DS 310EXPERIENCEINSOFTWAREDEVELOPMENT,CONSENTOFINSTRUCT OR ,,,,"Undergraduate Prerequisites: (CASCS 411 OR CDSDS 310) or equivalent experience in software development and consent of instructor. - Consent provided upon successful completion of pass/fail diagnostic test that assesses student readiness to take the course. This course offers students in computing disciplines the opportunity to apply their programming and system development skills by working on real-world projects provided from partnering organizations within and outside of BU, which are curated by Spark! The course offers a range of project options where students can improve their technical skills, while also gaining the soft skills necessary to deliver projects aligned to the partner's goals. These include teamwork and communications skills and software development processes. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Oral and/or Signed Communication, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 523,Deep Learning,,,,,,"Prerequisites: CASCS 541 or CASCS 542 - Mathematical and machine learning background for deep learning. Feed-forward networks., Backpropagation. Training strategies for deep networks. Architectures such as convolutional, recurrent, transformer networks. Deep reinforcement and unsupervised learning. Exposure to modern programming tools and libraries. Other recent topics, time permitting. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 525,Compiler Design Theory,CAS CS 320,,,,,"Undergraduate Prerequisites: (CASCS 320) or consent of instructor. - Graduate Prerequisites: (CASCS 320 OR CASCS 332) - Covers the basic mathematical theory underlying the design of compilers and other language processors and shows how to use that theory in practical design situations. Topics may include lexical analysis, parsing, syntax-directed translation, code optimization, and code generation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 528,Cloud Computing,CAS CS 350,CAS CS 460,,,,"Undergraduate Prerequisites: (CASCS350 & CASCS460) or consent of instructor. CASCS455, CASCS552, and CASCS562 are recomme nded. - Fundamentals of cloud computing covering IaaS platforms, OpenStack, key Big Data platforms, and data center scale systems. Examines influential publications in cloud computing. Culminates in a group project supervised by a mentor from industry or academia. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 530,Advanced Algorithms,CAS CS 330,,,,,"Undergraduate Prerequisites: (CASCS330) or consent of instructor. - Graduate Prerequisites: (CASCS330) or consent of instructor. - Studies the design and efficiency of algorithms in several areas of computer science. Topics are chosen from graph algorithms, sorting and searching, NP-complete problems, pattern matching, parallel algorithms, and dynamic programming. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 531,Advanced Optimization Algorithms,CAS MA 123,"124,",CAS CS 132,,,"Undergraduate Prerequisites: CAS MA 123 & 124, or equivalent and CAS CS 132 or equivalent; or conse nt of instructor. - Optimization algorithms, highlighting the fruitful interactions between discrete and continuous. Intended audience is advanced master students and doctoral students. Topics include gradient descent algorithms, online optimization, linear and semidefinite programming, duality, network optimization, submodular optimization, approximation algorithms via continuous relaxations. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 535,Complexity Theory,CAS CS 332,,,,,"Undergraduate Prerequisites: (CASCS332) or consent of instructor. - Graduate Prerequisites: (CASCS332) - Covers topics of current interest in the theory of computation chosen from computational models, games and hierarchies of problems, abstract complexity theory, informational complexity theory, time-space trade-offs, probabilistic computation, and recent work on particular combinatorial problems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 537,Randomness in Computing,CAS CS 330 OR CAS CS 530,,,,,Undergraduate Prerequisites: (CASCS330 OR CASCS530) . CASCS535 is recommended or consent of instructor. - Graduate Prerequisites: CASCS330 or CASCS530 is recommended. - Survey of probabilistic ideas of the theory of computation. Topics may include Monte Carlo and Las Vegas probabilistic computations; average case complexity and analysis; random and pseudorandom strings; games and cryptographic protocol; information; inductive inference; reliability;others. (Offered alternate years.) Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS CS 538,Fundamentals of Cryptography,CAS CS 131,CAS CS 237,CAS CS 357,,,"Undergraduate Prerequisites: (CASCS131 & CASCS237 & CASCS357) or consent of instructor. - Graduate Prerequisites: (CASCS332) - Basic Algorithms to guarantee confidentiality and authenticity of data. Definitions and proofs of security for practical constructions. Topics include perfectly secure encryption, pseudorandom generators, RSA and Elgamal encryption, Diffie-Hellman key agreement, RSA signatures, secret sharing, block and stream ciphers. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 541,Applied Machine Learning,CS111CS112RECOMMENDED,CS132 OR MA242 OR EK103,CS237 OR MA581 OR EK381,,,"Undergraduate Prerequisites: CS111 (CS112 recommended); CS132 or MA242 (or EK103); CS237 or MA581 ( or EK381.) CS365 is recommended. - Covers practical skills in machine learning including techniques for clustering, classification, regression, feature selection, and model compression. Emphasizes hands-on application of methods via programming on real- world datasets. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 542,Principles of Machine Learning,CAS CS 365,,,,,"Undergraduate Prerequisites: (CASCS365) - Introduction to modern machine learning concepts, techniques, and algorithms. Topics include regression, kernels, support vector machines, feature selection, boosting, clustering, hidden Markov models, and Bayesian networks. Programming assignments emphasize taking theory into practice, through applications on real-world data sets. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 543,Algorithmic Techniques for Taming Big Data,EXPOSURETOBASICDATASTRUCTURES,ALG OR ITHMS,,,,"Undergraduate Prerequisites: exposure to basic data structures and algorithms or consent of instruc tor. - Growing amounts of available data lead to significant challenges in processing them efficiently. In many cases, it is no longer possible to design feasible algorithms that can freely access the entire data set. Instead of that we often have to resort to techniques that allow for reducing the amount of data such as sampling, sketching, dimensionality reduction, and core sets. Also explores scenarios in which large data sets are distributed across several machines or even geographical locations and the goal is to design efficient communication protocols or MapReduce algorithms. Includes a final project and programming assignments in which we explore the performance of our techniques when applied to publicly available data sets. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 548,Advanced Cryptography,CAS CS 538,,,,,"Undergraduate Prerequisites: (CASCS 538) or consent of instructor. - Continuation of CASCS 538. Advanced techniques to preserve confidentiality and authenticity against active attacks, zero-knowledge proofs; Fiat-Shamir signature schemes; non-malleable public-key encryption; authenticated symmetric encryption; secure multiparty protocols for tasks ranging from Byzantine agreement to mental poker to threshold cryptography. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 549,Spark! Machine Learning X-Lab Practicum,CAS CS 505 OR CAS CS 542 OR CAS CS 585,,,,,"Undergraduate Prerequisites: (CASCS505 OR CASCS542 OR CASCS585) or consent of instructor. Consent provided upon successful completion of pass/fail diagnostic test that will assess student readiness to tak e the course. - The Spark! Practicum offers students in computing disciplines the opportunity to apply their knowledge in algorithms, inferential analytics, and software development by working on real-world projects provided from partnering organizations within BU and from outside. The course offers a range of project options where students can improve their technical skills, while also gaining the soft skills necessary to deliver projects aligned to the partner's goals. These include teamwork and communications skills and software development processes. All students participating in the course are expected to complete a project focused on an application of inferential analytics or machine learning, including a final presentation to the partner organization. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Research and Information Literacy, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CS 551,Streaming and Event-driven Systems,CAS CS 112,CAS CS 210,CAS CS 451,CAS CS 460,,Undergraduate Prerequisites: CAS CS 112 and CAS CS 210; CAS CS 451 and CAS CS 460 or consent of ins tructor. - Fundamentals of stream processing and event-driven systems. Topics include Pub/Sub systems; Distributed streaming systems; Dataflow programming; Fault-tolerance and processing guarantees; State management; Windowing semantics; Complex event processing; Microservice architectures; Serverless functions; Examines current and emerging architectures and use-cases. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS CS 552,Introduction to Operating Systems,CAS CS 112,CAS CS 210,COMPETENCYWITHC/C++,,,"Undergraduate Prerequisites: (CASCS 112 & CASCS 210) and competency with C/C++. CASCS 350 is recommended, or consent of instructor. - Examines process synchronization; I/O techniques, buffering, file systems; processor scheduling; memory management; virtual memory; job scheduling, resource allocation; system modeling; and performance measurement and evaluation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
