Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
CAS CH 162,Freshman Research in Chemistry 2 (4 Credits),,,,,,"Second semester of research including attendance with oral presentations at group research meetings, critical analysis of the research project, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 171,Principles of General Chemistry,,,,,,"Introduction to chemistry: separation and purification of matter, atomic theory, structure of atoms, molecules and chemical bonding, chemical formulas, equations, stoichiometry; water, solutions, concentration, acids, bases, pH and buffers; gases; reaction kinetics and equilibrium, and radioactivity. Three hours lecture, one hour discussion, one hour prelab lecture, and three hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 172,Principles of Organic and Biochemistry,CAS CH 171 OR CAS CH 102 OR CAS CH 110 OR CAS CH 112 OR CAS CH 131,,,,,"Undergraduate Prerequisites: (CASCH171 OR CASCH102 OR CASCH110 OR CASCH112 OR CASCH131) - Introduction to organic and biochemistry: Classes of organic compounds and biomolecules; nomenclature, physical properties and reactions of organic molecules; techniques for synthesizing, isolating and characterizing molecules; structure, reactivity and properties of carbohydrates, lipids and amino acids; structure and function of proteins, nucleic acids and membranes; and the biochemical pathways associated with sugar and lipid metabolism. Three hours lecture, one hour discussion, one hour pre-lab lecture, and three hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Scientific Inquiry II. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 174,Principles of Organic Chemistry,CAS CH 171 OR CAS CH 102 OR CAS CH 110 OR CAS CH 112 OR CAS CH 131,,,,,"Undergraduate Prerequisites: (CASCH171 OR CASCH102 OR CASCH110 OR CASCH112 OR CASCH131) - Structure, stereochemistry, functional groups, and reactions of carbon- containing compounds; emphasis on compounds and reactions of biochemical interest. Three hours lecture, one hour discussion, one hour prelab lecture, and three hours lab. Effective Spring 2020, this course fulfills a single unit in the following BU Hub area: Scientific Inquiry II. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 195,Freshman Seminar in the Chemical Sciences,,,,,,"Seminar for first semester freshmen interested in the molecular sciences. Explores the role of the chemical sciences in society, becoming familiar with a research-oriented approach to problem solving. Workshops train students with the tools used to attain research and information literacy. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 201,Quantitative Analytical Chemistry Laboratory,CAS CH 102 OR CAS CH 116,,,,,"Undergraduate Prerequisites: (CASCH102 OR CASCH116) - Principles of quantitative analysis and instrumental analysis. Introduction to error analysis, basic statistics, quantitative lab skills, basic statistics, acid-base chemistry, and electronic spectroscopy (atomic and molecularUV, AAS). Lab focuses on developing technique and approach to chemical problems using quantitative analysis and instrumental analysis. One hour lecture, four hours lab. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 203,Organic Chemistry 1,CAS CH 102 OR CAS CH 110 OR CAS CH 112,,,,,"Undergraduate Prerequisites: (CASCH102 OR CASCH110 OR CASCH112) - Fundamentals of contemporary organic chemistry, including skeletal and electronic structure, stereochemistry, and reactions of important functional groups. Applications of organic reactions to important synthetic targets in materials and drug discovery will be highlighted, as will reactions pertinent to biochemistry. Laboratory includes training in basic organic chemistry skills, such as extraction, reaction performance, spectroscopy interpretation and chromatography. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 204,Organic Chemistry 2,CAS CH 203,,,,,"Undergraduate Prerequisites: CASCH 203. Corequisite; CASCH 204P.  - Fundamentals of contemporary chemistry, including electronic structure, stereochemistry, and reactions of important functional groups. Laboratory includes extraction, distillation, and chromatography. Three hours lecture, one hour discussion, one hour prelab lecture, three-and-a-half hours lab in alternate weeks. Students registering for CASCH 204 must also register for CASCH 204P. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 211,Intensive Organic Chemistry 1,CAS CH 102 OR CAS CH 110 OR CAS CH 112,,,,,"Undergraduate Prerequisites: (CASCH102 OR CASCH110 OR CASCH112) - Recommended for Chemistry majors. Organic compounds and their reactions; functional groups, stereochemistry, synthesis, reaction mechanisms, and laboratory methods including qualitative organic analysis. Industrial applications and relevance to biological systems. Three hours lecture, one hour discussion, one hour prelab lecture, four hours lab. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 212,Intensive Organic Chemistry 2,CAS CH 211,,,,,"Undergraduate Prerequisites: (CASCH211) - Recommended for Chemistry majors. Organic compounds and their reactions; functional groups, stereochemistry, synthesis, reaction mechanisms, and laboratory methods including qualitative organic analysis. Industrial applications and relevance to biological systems. Three hours lecture, one hour discussion, one hour prelab lecture, four hours lab. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Oral and/or Signed Communication, Research and Information Literacy, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 214,Organic Chemistry with Qualitative Analysis,CAS CH 203,,,,,"Undergraduate Prerequisites: (CASCH203) - Lecture and discussion shared with CAS CH 204. Three hours lecture, one hour discussion weekly, one hour prelab lecture, four hours lab. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning I, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 218,Organic Chemistry 1 with Integrated Science Experience II Lab,"CAS CH 116,",EITHERCAS BI 116 OR CAS NE 116,,,,"Undergraduate Prerequisites: CAS CH 116, and either CAS BI 116 or CAS NE 116. ; Undergraduate Corequisites: CAS BI 218 or CAS NE 218. - Integration of organic chemistry with cell biology and neuroscience, with emphasis on how each discipline interacts experimentally. Laboratory focuses on synthesizing compounds and testing in biological systems. 3 lecture hours (meets with CH 203 lecture), 1 discussion hour, 4 hours lab, 2 hour lab discussion. 4 Credits Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 220,Organic Chemistry Laboratory with Qualitative Analysis,CAS CH 204,,,,,"Undergraduate Prerequisites: (CASCH204) - Laboratory methods in organic chemistry including multistep synthesis, organic qualitative analysis, and instrumental analysis. Equivalent to the laboratory part of CAS CH 214. One hour lecture, four hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning I, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 225,Mathematical Methods for Molecular Science,CAS MA 123/124 OR MA127,,"CAS CH 101,109, OR 111",,,"Undergraduate Prerequisites: CAS MA 123/124 or MA 127; and CAS CH 101, 109, or 111. - Select topics from multivariate calculus, ordinary differential equations, and linear algebra that are most relevant to physical chemistry, biophysical chemistry, and biophysics. Focus on the mastery of key mathematical concepts and methods important for the successful study of advanced molecular science. Three hours lecture, one hour discussion. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Quantitative Reasoning II. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 232,Inorganic Chemistry,CAS CH 102 OR CAS CH 110 OR CAS CH 112,CAS CH 211 OR CAS CH 203,,,,"Undergraduate Prerequisites: (CASCH102 OR CASCH110 OR CASCH112) ; CASCH211 or CASCH203; or consent of instructor. First Year Writing S eminar (e.g., WR 100 or WR 120) ; Undergraduate Corequisites: (CASCH212 OR CASCH214)or consent of instructor. - The relation of atomic and molecular structure to chemical properties. Bronsted and Lewis acid/base behavior; redox reactions; bonding and reactions of main group elements; d-metal complexes, including bonding, spectra, and reaction mechanisms; and organometallic chemistry. Three hours lecture, one hour discussion, four hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Writing- Intensive Course, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 241,Sophomore Research in Chemistry 1 (2 Credits),,,,,,"First semester of research including the use of the research literature. Attendance at group research meetings and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 242,Sophomore Research in Chemistry 2 (2 Credits),,,,,,"Second semester of research including attendance with oral presentations at group research meetings and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 243,Sophomore Research in Chemistry 3 (2 Credits),,,,,,"Third semester of research including attendance with oral presentations at group research meetings, contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 244,Sophomore Research in Chemistry 4 (2 Credits),,,,,,"Fourth semester of research including attendance with oral presentations at group research meetings, contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 261,Sophomore Research in Chemistry 1 (4 Credits),,,,,,"First semester of research including the use of the research literature, attendance with oral presentations at group research seminars and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 262,Sophomore Research in Chemistry 2 (4 Credits),CAS CH 102 OR CAS CH 161,,,,,"Undergraduate Prerequisites: (CASCH102 OR CASCH161) - Second semester of research including attendance with oral presentations at group research meetings, critical analysis of the research project, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 263,Sophomore Research in Chemistry 3 (4 Credits),,,,,,"Third semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Teamwork/Collaboration, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 264,Sophomore Research in Chemistry 4 (4 Credits),,,,,,"Fourth semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Teamwork/Collaboration, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 301,Chemical Synthesis and Analysis,CAS CH 212 OR CAS CH 214 OR CAS CH 220,,,,,"Undergraduate Prerequisites: (CASCH212 OR CASCH214 OR CASCH220) - Combined advanced lecture/laboratory course that introduces fundamental methods of organic synthesis and analysis current in chemical research. Applications include topics in organocatalysis, asymmetric synthesis and organometallic chemistry, and spectroscopy. Eight hours project-based lab plus three hours lecture. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 303,Instrumental Analysis Laboratory,CAS CH 110 OR CAS CH 112 OR CAS CH 201,,CAS MA 124,,,"Undergraduate Prerequisites: CAS CH 110 or CAS CH 112 or CAS CH 201; and CAS MA 124. ; Undergraduate Corequisites: (CASPY212) - Fundamental theoretical principles, capabilities, applications, and limitations of modern analytical instrumentation with laboratory in spectroscopy and analytical chromatography. Two hours lecture, six hours lab (single session). Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 341,Junior Research in Chemistry 1 (2 Credits),,,,,,"First semester of research including the use of the research literature, attendance at group research meetingrs and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 342,Junior Research in Chemistry 2 (2 Credits),,,,,,"Second semester of research including attendance with oral presentations at group research meetings and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 343,Junior Research in Chemistry 3 (2 Credits),,,,,,"Third semester of research including attendance with oral presentations at group research meetings, contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 344,Junior Research in Chemistry 4 (2 Credits),,,,,,"Fourth semester of research including attendance with oral presentations at group research meetings, contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 345,Junior Research in Chemistry 5 (2 Credits),,,,,,"Fifth semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 346,Junior Research in Chemistry 6 (2 Credits),,,,,,"Fifth semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 351,Physical Chemistry I: Quantum Mechanics,CAS CH 102 OR CAS CH 110 OR CAS CH 112,,CAS PY 212,CAS MA 124,,"Undergraduate Prerequisites: (CASCH102 OR CASCH110 OR CASCH112) ; and CASPY212 and CASMA124. ; Undergraduate Corequisites: (CASMA225 OR CASCH225) - Fundamentals of quantum mechanics for studying atomic and molecular systems. Schrodinger equation. Properties of waves and wave packets. Translations, rotations, and vibrations. One and many electron atoms. Born-Oppenheimer approximation. Diatomic and polyatomic molecules. Valence bond, molecular orbital, and Huckel theories. Variational principle. Electronic, rotational, vibrational, and magnetic resonance spectroscopies. Spontaneous and stimulated emission. Three hours lecture, one hour discussion. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Quantitative Reasoning II. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 352,Physical Chemistry 2: Statistical Thermodynamics,,,,,,"Prerequisites: (CASCH 102 OR CASCH 110 OR CASCH 112); AND CASPY 212 AND CASMA 124. CASMA 225 or CASCH 225 are recommended. - Statistics and probability. Maximizing multiplicity and concept of equilibrium. Energy, entropy, and the laws of thermodynamics. Boltzmann and Gibbs entropy formulas. Thermodynamic driving forces and free energy. Maxwell relations. Partition functions for atoms, molecules, and solids. Fluctuations and the heat capacity. Chemical equilibrium. Liquids, solutions, and mixtures. Polymers and biopolymers. Microscopic theories of diffusion and reaction. Three hours lecture, one hour discussion. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 354,Physical Chemistry Laboratory,"CAS CH 102/201,CAS CH 110,CAS CH 112 OR CAS CH 351",,,,,"Undergraduate Prerequisites: CASCH102/201, CASCH110, CASCH112 or CASCH351. First Year Writing Semin ar (e.g., WR 100 or WR 120) ; Undergraduate Corequisites: (CASCH352) - Experiments in thermodynamics, vibrational and electronic, chemical kinetics and equilibrium, molecular modeling and structure determination. Statistics and error analysis of laboratory data. Six hours lab plus prelab lecture. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Scientific Inquiry II, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 361,Junior Research in Chemistry 1 (4 Credits),,,,,,"First semester of research including the use of the research literature, attendance with oral presentations at group research seminars and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 362,Junior Research in Chemistry 2 (4 Credits),,,,,,"Second semester of research including attendance with oral presentations at group research meetings, critical analysis of the research project, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 363,Junior Research in Chemistry 3 (4 Credits),,,,,,"Third semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Teamwork/Collaboration, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 364,Junior Research in Chemistry 4 (4 Credits),,,,,,"Fourth semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Teamwork/Collaboration, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 365,Junior Research in Chemistry 5 (4 Credits),,,,,,"Fifth semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 366,Junior Research in Chemistry 6 (4 Credits),,,,,,"Sixth semester of research including attendance with oral presentations at group research meetings, creative contributions as a research team member, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
