Title,Course Code,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
Introduction to Reinforcement Learning,ENG EC 418,"STUDENTSMUSTEITHERTAKEALLTHREEOFMA225,EK103,",EK381MULTI,,,,"Undergraduate Prerequisites: Students must either take all three of MA225, EK103, and EK 381 (Multi -variable Calculus, Linear Algebra, Probability, or their equivalents) or all three of DS 120, 121, 122 (Foundations of Data Scien - Reinforcement learning is a subfield of artificial intelligence which deals with learning from repeated interactions with an environment. Reinforcement learning is the basis for algorithms for playing strategy games such as Chess, Go, Backgammon, and Starcraft, as well as a number of algorithms throughout robotics, operations research, and other fields of engineering. This course will cover the fundamental algorithms of reinforcement learning, focusing on the core principles underlying these methods. Topics covered will include Dynamic Programming, Markov Decision Processes, Value Iteration, Policy Iteration, Temporal Difference Methods and Monte Carlo, Function Approximation in Reinforcement Learning and Neural Networks Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Operating Systems,ENG EC 440,ENG EC 327,,,,,"Undergraduate Prerequisites: (ENGEC327) - Operating system concepts and design objectives. Concurrent processes, process synchronization, and deadlocks. Resource management including virtual memory, CPU scheduling, and secondary storage. File structures, input/output, and distributed systems. Case studies of popular operating systems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Computer Networking,ENG EC 441,ENG EK 381ENG EC 327,ENG EC 401RECOMMENDED,,,,"Undergraduate Prerequisites: (ENGEK381) ENGEC327 and ENGEC401 recommended - Computer networks, focusing on the Internet. Application protocols (Web, E- mail), basics of socket programming, major Internet protocols (TCP and IP), fundamental aspects of routing and reliable data transfer over networks, medium access protocols, wired and wireless Local Area Networks (LANs) technologies. Hands-on laboratory modules on client-server programming, Internet experiments, and protocol implementation. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Smart and Connected Systems,ENG EC 444,ENG EC 311,ENG EC 327,,,,"Undergraduate Prerequisites: (ENGEC311 & ENGEC327) - Hands-on introductory course to cyber-physical and IoT systems. Microcontrollers: integrated development environments (ISEs), architecture, and I/O interfaces. Hardware interfacing of systems: formal design and specifications, real-time OS, programming, and control. IoT systems: smart phones, wireless personal area networks (WPANs), IP gateways, mobile cloud computing, reliability, security, and privacy. Course culminates with a team project. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Software Design,ENG EC 447,ENG EC 327,,,,,Undergraduate Prerequisites: ENGEC 327 - Object-oriented software design for desktop applications with a graphical user interface. C# and Microsoft .NET programming assignments. Provides a solid foundation in modern programming for engineering and other applications. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
Electromagnetic Systems 1,ENG EC 455,CAS PY 212,CAS MA 226,,,,"Undergraduate Prerequisites: (CASPY212 & CASMA226) - Time varying electric and magnetic fields. Maxwell equations. Electromagnetic waves. Propagation, reflection, and transmission. Remote sensing applications. Radio frequency coaxial cables, microwave waveguides, and optical fibers. Microwave sources and resonators. Antennas and radiation. Radio links, radar, and wireless communication systems. Electromagnetic effects in high-speed digital systems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Senior Design Project 1,ENG EC 463,ENG EK 210SPECIAL,CAS WR 150/1/2/3REQUIRED,,,,"Undergraduate Prerequisites: (ENGEK210) senior standing; CAS WR 150/1/2/3 required. - Development of the technical, communication, personal, and team skills needed for successful design in electrical and computer engineering. Specifications and standards, information collection, design strategies, modeling, computer- aided design, optimization, system design, failure and reliability, human factors. Oral and written communication of technical information. Team dynamics and ethical issues in design. Design project for a small-scale electrical or computer system. Preparation of detailed proposals for senior design projects in the following semester. Includes lab. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Writing-Intensive Course, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Physics of Semiconductor Devices,ENG EC 471,CAS PY 313 OR CAS PY 354,,,,,"Undergraduate Prerequisites: (CASPY313 OR CASPY354) - This course addresses the theory of semiconductors and semiconductor electronic devices. The section on the theory of semiconductor includes their crystal structure, energy bands, and carrier concentration in thermal equilibrium as well as carrier transport phenomena (drift, diffusion, generation and recombination, tunneling, high field effects, and thermionic emission). The section on electronic devices addresses the theory of p-n junctions and heterojunctions, of Bipolar Junction Transistors (BJT), Thyristors, Metal Oxide Semiconductor (MOS) Capacitors and MOS Field Effect Transistors (MOSFETs). Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Special Topics in Electrical and Computer Engineering,ENG EC 500,SPECIAL,,,,,"Undergraduate Prerequisites: senior standing or consent of instructor. - Specific prerequisites vary according to topic. Coverage of a specific topic in electrical, computer, or systems engineering. Subject varies from year to year and is generally from an area of current or emerging research. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Special Topics in Electrical and Computer Engineering,ENG EC 500,SPECIAL,,,,,"Undergraduate Prerequisites: senior standing or consent of instructor. - Specific prerequisites vary according to topic. Coverage of a specific topic in electrical, computer, or systems engineering. Subject varies from year to year and is generally from an area of current or emerging research. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Special Topics in Electrical and Computer Engineering,ENG EC 500,SPECIAL,,,,,"Undergraduate Prerequisites: senior standing or consent of instructor. - Specific prerequisites vary according to topic. Coverage of a specific topic in electrical, computer, or systems engineering. Subject varies from year to year and is generally from an area of current or emerging research. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Special Topics in Electrical and Computer Engineering,ENG EC 500,SPECIAL,,,,,"Undergraduate Prerequisites: senior standing or consent of instructor. - Specific prerequisites vary according to topic. Coverage of a specific topic in electrical, computer, or systems engineering. Subject varies from year to year and is generally from an area of current or emerging research. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Special Topics in Electrical and Computer Engineering,ENG EC 500,SPECIAL,,,,,"Undergraduate Prerequisites: senior standing or consent of instructor. - Specific prerequisites vary according to topic. Coverage of a specific topic in electrical, computer, or systems engineering. Subject varies from year to year and is generally from an area of current or emerging research. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Dynamic System Theory,ENG EC 501,FAMILIARITYWITHDIFFERENTIALEQUATIONS,"MATRICESATTHELEVELOFENG ME 404 OR CAS MA 242,",,,,"Undergraduate Prerequisites: Familiarity with differential equations and matrices at the level of E NG ME 404 or CAS MA 242, or consent of instructor. - Introduction to analytical concepts and examples of dynamic systems and control. Mathematical description and state space formation of dynamic systems; modeling, controllability, and observability. Eigenvector and transform analysis of linear systems including canonical forms. Performance specifications. State feedback: pole placement and the linear quadratic regulator. Introduction to MIMO design and system identification using computer tools and laboratory experiments. Same as ENG ME 501 and ENG SE 501. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Learning from Data,ENG EC 503,,,,,,"Prerequisites: EK381 or equivalent; EK102 or equivalent; MA225 or equivalent; EK125 or equivalent.

This is an introductory graduate course in (classical) machine learning covering the basic principles and methods of four major non-sequential supervised and unsupervised learning problems namely, classification, regression, clustering, and dimensionality reduction. A variety of contemporary applications will be explored through homeworks and a project. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Advanced Data Structures,ENG EC 504,ENG EC 330,,,,,"Undergraduate Prerequisites: (ENGEC330) - Review of basic data structures and Java syntax. Data abstraction and object-oriented design in the context of high-level languages and databases. Design implementation from the perspective of data structure efficiency and distributed control. Tailoring priority queues, balanced search trees, and graph algorithms to real-world problems, such as network routing, database management, and transaction processing. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Enterprise Client-Server Software Systems Design,ENG EC 512,SPECIAL,,,,,"Undergraduate Prerequisites: Senior standing or consent of instructor. EC447 is recommended. - Examination of past, current, and emerging technologies. Client side technologies including DHTML, CSS, scripting, and proprietary applications. Legacy server side technologies including CGI, HTTP protocol, and active server pages. Current server technologies including ASP.NET, XM, web services, SQL databases, streaming media, and middleware. Design and implementation of solutions involving database connectivity, session state, security requirements, SSL, and authentication of clients. Assignments involving design through implementation. Students must be fully competent in an object oriented programming language (C++, C#, or Java preferred). Familiarity with web technologies such as HTML, scripting, XML, etc. is helpful. Programming experience with a graphical user environment is also very desirable. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Computer Architecture,ENG EC 513,ENG EC 413,,,,,"Undergraduate Prerequisites: (ENGEC413) - Graduate Prerequisites: (ENGEC605) Or instructor consent - Computer architecture and design. Topics include computer arithmetic and ALU design; performance evaluation; instruction set design; CPU design, including pipelining, branch prediction, and speculative execution; memory hierarchy, including cache basics, cache design for performance, and virtual memory support; I/O, including devices, interfaces, specification, and modeling. Examples from high-end microprocessors and embedded systems. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Digital Signal Processing,ENG EC 516,ENG EC 401,ENG EK 381,,,,"Undergraduate Prerequisites: (ENGEC401 & ENGEK381) - Advanced structures and techniques for digital signal processing and their properties in relation to application requirements such as real-time, low-bandwidth, and low-power operation. Optimal FIR filter design; time-dependent Fourier transform and filterbanks; Hilbert transform relations; cepstral analysis and deconvolution; parametric signal modeling; multidimensional signal processing; multirate signal processing. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Robot Learning,ENG EC 518,"MULTIVARIATECALCULUSMA225,LINEARALGEBRAEK103,PROBABILITYEK381,","PROGRAMMINGEK128,PYTHONEXPERIENCEISHIGHLYRECOMMENDED,MACHINELEARNINGEC414",,,,"Undergraduate Prerequisites: Multivariate Calculus (MA 225), Linear Algebra (EK 103), Probability (EK 381), and Programming (EK 128, Python experience is highly recommended), Machine Learning (EC 414). - This class will discuss recent developments in machine learning and perception for robotics. Specifically, we will study advanced concepts in perception and decision-making algorithms in order to provide theoretical and experimental frameworks for robot learning. Topics will include 3D vision, sensorimotor paradigms for perception and action, robot reinforcement learning, imitation learning, inverse reinforcement learning, exploration, options, model-based approaches, POMDP and human-machine and social interaction. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Digital Image Processing and Communication,ENG EC 520,"ENG EC 401,ENG EK 125",381,,,,"Undergraduate Prerequisites: ENGEC401, ENGEK 125 and 381 - Review of signals and systems in multiple dimensions. Sampling of still images. Quantization of image intensities. Human visual system. Image color spaces. Image models and transformations. Image enhancement and restoration. Image analysis. Image compression fundamentals. Image compression standards (JPEG, JPEG-2000). Homework will include MATLAB assignments. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Cybersecurity,ENG EC 521,ENG EC 327,,,,,"Undergraduate Prerequisites: (ENGEC327) ; Undergraduate Corequisites: (ENGEC441) - Fundamentals of security related to computers and computer networks. Laws and ethics. Social engineering and psychology-based attacks. Information gathering, network mapping, service enumeration, and vulnerability scanning. Operating system security related to access control, exploits, and disk forensics. Shellcoding. Wired and wireless network security at the physical, network, and application layers. Theoretical lessons are augmented with case studies and demonstrative experimental labs. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Computational Optical Imaging,ENG EC 522,ENG EK 103,ENG EK 125,ENG EC 401,,,"Undergraduate Prerequisites: (ENGEK103 & ENGEK125 & ENGEC401) - Recent years have seen the growth of computational optical imaging - optical imaging systems that tightly integrate hardware and computation. The results are the emergence of many new imaging capabilities, such as 3D, super resolution, and extended depth of field. Computational optical imaging systems have a wide range of applications in consumer photography, scientific and biomedical imaging, microscopy, defense, security and remote sensing. This course looks at this new design approach as it is applied to modern optical imaging, with a focus on the tools and techniques at the convergence of physical optical modeling, and signal processing. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Deep Learning,ENG EC 523,,,,,,"Feed-forward networks. Backpropagation. Training strategies for deep networks. Convolutional networks. Recurrent neural networks. Transformers. Diffusion Models. Deep unsupervised learning. Exposure to Pytorch and other modern programming tools. Other recent topics, time permitting. Same as CAS CS 523. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Optimization Theory and Methods,ENG EC 524,ENG EK 103 OR CAS MA 142,,,,,"Undergraduate Prerequisites: (ENGEK103 OR CASMA142) - Introduction to optimization problems and algorithms emphasizing problem formulation, basic methodologies, and underlying mathematical structures. Classical optimization theory as well as recent advances in the field. Topics include modeling issues and formulations, simplex method, duality theory, sensitivity analysis, large-scale optimization, integer programming, interior-point methods, non-linear programming optimality conditions, gradient methods, and conjugate direction methods. Applications are considered; case studies included. Extensive paradigms from production planning and scheduling in manufacturing systems. Other illustrative applications include fleet management, air traffic flow management, optimal routing in communication networks, and optimal portfolio selection. Same as ENG EC 674, ENG SE 524, ENG SE 674. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Optimization for Machine Learning,ENG EC 525,ENG EC 414,ENG EK 381,ENG EK 103,,,"Undergraduate Prerequisites: (ENGEC414 & ENGEK381 & ENGEK103) - Efficient algorithms to train large models on large datasets have been critical to the recent successes in machine learning and deep learning. This course will introduce students to both the theoretical principles behind such algorithms as well as practical implementation considerations. topics include convergence properties of first-order optimization technologies such as stochastic gradient descent, with particular focus on optimization problems with non-convex losses typically present in modern deep learning problems. After completing this course, students should be able to read, and understand optimization algorithms from literature as well as design and implement new optimization algorithms. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
